AuthorID,Author,Date,Content,Attachments,Reactions
"1135207490942935110","Integration","8/1/2023 2:57 PM","te-rex убил Melinz (Springfield Armory M1A, 32.69m)","",""
"1135207490942935110","Integration","8/1/2023 3:02 PM","blackmistress убил Gaston Balden (UMP-45, 13.31m)","",""
"1135207490942935110","Integration","8/1/2023 3:02 PM","blackmistress убил Stranger (UMP-45, 2.8m)","",""
"1135207490942935110","Integration","8/1/2023 3:21 PM","Groza228 убил RoGaliK (M4A1, 2.23m)","",""
"1135207490942935110","Integration","8/1/2023 5:21 PM","Groza228 убил :biohazard: (M4A1, 2.72m)","",""
"1135207490942935110","Integration","8/1/2023 5:25 PM","Izya Shniperson убил :biohazard: (Glock-19, 14.91m)","",""
"1135207490942935110","Integration","8/1/2023 5:29 PM","V O E V O D A убил Altares (AK-74М, 2.63m)","",""
"1135207490942935110","Integration","8/1/2023 6:40 PM","[K*o*T] убил d1mqaaa (FN SCAR-H CQC, 11.31m)","",""
"1135207490942935110","Integration","8/1/2023 6:49 PM","nigeras убил [K*o*T] (СКС, 3.77m)","",""
"1135207490942935110","Integration","8/1/2023 6:53 PM","zuwer убил CCCPSAS (Steyr AUG A3, 76.51m)","",""
"1135207490942935110","Integration","8/1/2023 7:05 PM",":radioactive: убил d1mqaaa (ИЖ70-17A, 8.39m)","",""
"1135207490942935110","Integration","8/1/2023 7:09 PM","d1mqaaa убил Larry (Каменный нож, 1.14m)","",""
"1135207490942935110","Integration","8/1/2023 7:13 PM","Undead убил :radioactive: (АК-105 Булл-пап, 36.51m)","",""
"1135207490942935110","Integration","8/1/2023 7:14 PM","Stonehenge убил CCCPSAS (ИЖ-43, 20.35m)","",""
"1135207490942935110","Integration","8/1/2023 7:27 PM","Undead убил :radioactive: (АК-105 Булл-пап, 23.2m)","",""
"1135207490942935110","Integration","8/1/2023 7:27 PM","Undead убил Stonehenge (Winchester Model 70, 254.71m)","",""
"1135207490942935110","Integration","8/1/2023 8:29 PM","Rus убил THEBEST (СКС, 1.7m)","",""
"1135207490942935110","Integration","8/1/2023 8:35 PM","SoloTroll убил Gaston Balden (АКС-74У, 12.88m)","",""
"1135207490942935110","Integration","8/1/2023 8:39 PM","bugimanKIL убил Danjeon Master (FN SCAR-L CQC, 9.02m)","",""
"1135207490942935110","Integration","8/1/2023 9:18 PM","alkaida убил Meringues (СКС, 15.87m)","",""
"1135207490942935110","Integration","8/1/2023 9:39 PM","Groza228 убил Xedm (M4A1, 4.07m)","",""
"1135207490942935110","Integration","8/1/2023 9:51 PM","Groza228 убил Gaston Balden (M4A1, 16.26m)","",""
"1135207490942935110","Integration","8/1/2023 9:51 PM","THEBEST убил Dazaidur (АКС-74У, 21.48m)","",""
"1135207490942935110","Integration","8/1/2023 9:52 PM","Groza228 убил Stranger (AK-74М, 16.14m)","",""
