Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-14 15:27:00,"Axotnik убил slay (ВПО-190 «Горностай», 91.35m)",ВПО-190 «Горностай»,91.35,Axotnik,slay
2023-11-14 15:30:00,"Kabanchik убил Hooligan (Каменный нож, 1.28m)",Каменный нож,1.28,Kabanchik,Hooligan
2023-11-14 15:33:00,"Liveram убил Dosven (АКС-74У, 1.73m)",АКС-74У,1.73,Liveram,Dosven
2023-11-14 15:43:00,"Aksel убил Winston (CZ-550 Lux, 347.95m)",CZ-550 Lux,347.95,Aksel,Winston
2023-11-14 15:44:00,"Kabanchik убил kazuki (Топорик, 1.83m)",Топорик,1.83,Kabanchik,kazuki
2023-11-14 15:46:00,"Tikhnov убил [B.I.T.S] Phantom (Glock-19, 4.44m)",Glock-19,4.44,Tikhnov,[B.I.T.S] Phantom
2023-11-14 15:48:00,"kazuki убил Teemkka (Труба, 0.99m)",Труба,0.99,kazuki,Teemkka
2023-11-14 16:17:00,"Corsar убил SUrva (Застава М59/66, 39.77m)",Застава М59/66,39.77,Corsar,SUrva
2023-11-14 16:25:00,"Corsar убил Shram (Застава М59/66, 4.75m)",Застава М59/66,4.75,Corsar,Shram
2023-11-14 16:31:00,"YAV убил SerRj (Blaser B95 Luxus, 44.36m)",Blaser B95 Luxus,44.36,YAV,SerRj
2023-11-14 16:34:00,"PANDA убил cocimaki (АК-105 Булл-пап, 10.46m)",АК-105 Булл-пап,10.46,PANDA,cocimaki
2023-11-14 16:34:00,"PANDA убил SHWAYNA (АК-105 Булл-пап, 4.01m)",АК-105 Булл-пап,4.01,PANDA,SHWAYNA
2023-11-14 16:37:00,"Zavod убил Mango (Winchester Model 70, 61.85m)",Winchester Model 70,61.85,Zavod,Mango
2023-11-14 16:41:00,"abt. Kitik 3aika убил 2020 (МР-133, 5.93m)",МР-133,5.93,abt. Kitik 3aika,2020
2023-11-14 16:42:00,"abt. Kitik 3aika убил EvGer (МР-133, 5.29m)",МР-133,5.29,abt. Kitik 3aika,EvGer
2023-11-14 16:43:00,"Lemiz убил Tomas (Сайга-12К, 1.25m)",Сайга-12К,1.25,Lemiz,Tomas
2023-11-14 16:44:00,"Field Marshal убил Algiza (CZ-527, 47.22m)",CZ-527,47.22,Field Marshal,Algiza
2023-11-14 16:54:00,"Yumik убил sahor cor (Каменный нож, 1.1m)",Каменный нож,1.1,Yumik,sahor cor
2023-11-14 17:04:00,"sahor cor убил PR71 (Бейсбольная бита, 1.59m)",Бейсбольная бита,1.59,sahor cor,PR71
2023-11-14 17:09:00,"Woody убил Yumik (M14 DMR, 133.49m)",M14 DMR,133.49,Woody,Yumik
2023-11-14 17:12:00,"Aksel убил Corsar (FN SCAR-L CQC, 10.57m)",FN SCAR-L CQC,10.57,Aksel,Corsar
2023-11-14 17:17:00,"VellSin убил [B.I.T.S] Kisse (M24, 188.48m)",M24,188.48,VellSin,[B.I.T.S] Kisse
2023-11-14 17:19:00,"[B.I.T.S]?Aslanbek? убил VellSin (Blaser B95 Luxus, 116.8m)",Blaser B95 Luxus,116.8,[B.I.T.S]?Aslanbek?,VellSin
2023-11-14 17:19:00,"OBLADAET убил GG (FN SCAR-L CQC, 7.29m)",FN SCAR-L CQC,7.29,OBLADAET,GG
2023-11-14 17:20:00,"_wkzmxx убил Woody (CMMG Mk47 Mutant, 5.83m)",CMMG Mk47 Mutant,5.83,_wkzmxx,Woody
2023-11-14 17:21:00,"Poxyist убил PANDA (Н&К-416, 22.43m)",Н&К-416,22.43,Poxyist,PANDA
2023-11-14 17:23:00,"2020 убил Yumik (Glock-19, 3.38m)",Glock-19,3.38,2020,Yumik
