Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-18 10:26:00,"SKAMIK убил xendit (Молоток, 0.59m)",Молоток,0.59,SKAMIK,xendit
2023-11-18 10:38:00,":banana: убил :clown: (M24, 89.43m)",M24,89.43,:banana:,:clown:
2023-11-18 10:39:00,":banana: убил :man_detective: (AK-104, 3.77m)",AK-104,3.77,:banana:,:man_detective:
2023-11-18 11:20:00,"[IPF]Enot убил nifont (Винтовка Мосина, 163.52m)",Винтовка Мосина,163.52,[IPF]Enot,nifont
2023-11-18 11:35:00,"Angel Predohranitel убил Kirei (ВСС «Винторез», 38.67m)",ВСС «Винторез»,38.67,Angel Predohranitel,Kirei
2023-11-18 11:38:00,"3apeuDiL.BaIIIe.O4Ko убил sholk (FN SCAR-L CQC, 9.96m)",FN SCAR-L CQC,9.96,3apeuDiL.BaIIIe.O4Ko,sholk
2023-11-18 11:38:00,"twitchtvTH1SNONE убил 3apeuDiL.BaIIIe.O4Ko (ВПО-136 ""Вепрь-КМ"", 21.77m)","ВПО-136 ""Вепрь-КМ""",21.77,twitchtvTH1SNONE,3apeuDiL.BaIIIe.O4Ko
2023-11-18 11:41:00,"Rip KAMAZ убил Samsariik (M14, 34.81m)",M14,34.81,Rip KAMAZ,Samsariik
2023-11-18 11:43:00,"[clowns]NARUTO убил [IPF]Enot (СВ-98, 430.78m)",СВ-98,430.78,[clowns]NARUTO,[IPF]Enot
2023-11-18 11:45:00,"[clowns]NARUTO убил [IPF] MysteryGnom (CMMG Mk47 Mutant, 16.25m)",CMMG Mk47 Mutant,16.25,[clowns]NARUTO,[IPF] MysteryGnom
2023-11-18 11:54:00,"A L E N убил MAG2255 (ИЖ70-17A, 4.59m)",ИЖ70-17A,4.59,A L E N,MAG2255
2023-11-18 12:11:00,"Pablo Escobar убил pvlitvi1997 (Застава М59/66, 1.1m)",Застава М59/66,1.1,Pablo Escobar,pvlitvi1997
2023-11-18 12:12:00,"Apsua убил Gagysik (MP5K, 13.72m)",MP5K,13.72,Apsua,Gagysik
2023-11-18 12:21:00,"SuperPooper убил sholk (АКС-74У, 5.13m)",АКС-74У,5.13,SuperPooper,sholk
2023-11-18 12:41:00,"Loki убил TRIN (МР-133, 21.68m)",МР-133,21.68,Loki,TRIN
2023-11-18 12:47:00,"3apeuDiL.BaIIIe.O4Ko убил Zeref (FAMAS F1 со срезанной рукояткой, 0.63m)",FAMAS F1 со срезанной рукояткой,0.63,3apeuDiL.BaIIIe.O4Ko,Zeref
2023-11-18 12:47:00,"happas45 убил 3apeuDiL.BaIIIe.O4Ko (ОЦ-12 «Тисс», 8.3m)",ОЦ-12 «Тисс»,8.3,happas45,3apeuDiL.BaIIIe.O4Ko
2023-11-18 12:48:00,"Angel Predohranitel убил Grozd (AC «Вал», 5.27m)",AC «Вал»,5.27,Angel Predohranitel,Grozd
2023-11-18 12:48:00,"happas45 убил Angel Predohranitel (ОЦ-12 «Тисс», 4.51m)",ОЦ-12 «Тисс»,4.51,happas45,Angel Predohranitel
2023-11-18 12:49:00,"PykuHaKaIIoT*** убил happas45 (AK-104, 46.91m)",AK-104,46.91,PykuHaKaIIoT***,happas45
2023-11-18 12:54:00,"kompotkeks убил Smetanin (Škorpion vz. 64, 6.45m)",Škorpion vz. 64,6.45,kompotkeks,Smetanin
2023-11-18 13:09:00,"9MXCEMHWW убил boombox (ОЦ-14 «Гроза», 17.78m)",ОЦ-14 «Гроза»,17.78,9MXCEMHWW,boombox
2023-11-18 13:09:00,"9MXCEMHWW убил mamont c kachalki (SSG 82, 0.92m)",SSG 82,0.92,9MXCEMHWW,mamont c kachalki
2023-11-18 13:10:00,":man_detective: убил boombox (Каменный нож, 1.49m)",Каменный нож,1.49,:man_detective:,boombox
2023-11-18 13:21:00,"slemchik03 убил SUSAMI (Застава М59/66, 9.44m)",Застава М59/66,9.44,slemchik03,SUSAMI
2023-11-18 13:32:00,"krab убил pvlitvi1997 (Škorpion vz. 64, 6.99m)",Škorpion vz. 64,6.99,krab,pvlitvi1997
2023-11-18 13:46:00,"9MXCEMHWW убил GraF  (АКС-74У, 8.61m)",АКС-74У,8.61,9MXCEMHWW,GraF 
2023-11-18 13:47:00,"[CTO] STARSHINA убил # (AK-74М, 27.49m)",AK-74М,27.49,[CTO] STARSHINA,#
2023-11-18 13:51:00,"bobik123 убил TRIN (Glock-19, 33.05m)",Glock-19,33.05,bobik123,TRIN
2023-11-18 13:52:00,":banana: убил Kokojaba (M24, 75.75m)",M24,75.75,:banana:,Kokojaba
2023-11-18 13:52:00,"bobik123 убил Pepper Lonely (ИЖ-18, 2.33m)",ИЖ-18,2.33,bobik123,Pepper Lonely
2023-11-18 13:53:00,"Splash убил :man_detective: (СВТ-40, 78.01m)",СВТ-40,78.01,Splash,:man_detective:
2023-11-18 13:56:00,":banana: убил [CTO] STARSHINA (M24, 45.06m)",M24,45.06,:banana:,[CTO] STARSHINA
2023-11-18 13:57:00,"TRIN убил Storm (Ruger 10/22, 1.15m)",Ruger 10/22,1.15,TRIN,Storm
2023-11-18 14:02:00,"DED ADOT убил mamkin nagibator (МР-133, 6.55m)",МР-133,6.55,DED ADOT,mamkin nagibator
2023-11-18 14:11:00,"INDIGO убил boombox (Винтовка Мосина, 120.43m)",Винтовка Мосина,120.43,INDIGO,boombox
2023-11-18 14:12:00,"KILLA убил Skrilliks (Glock-19, 27.26m)",Glock-19,27.26,KILLA,Skrilliks
2023-11-18 14:15:00,"Kokojaba убил KILLA (ИЖ-43, 11.88m)",ИЖ-43,11.88,Kokojaba,KILLA
2023-11-18 14:28:00,"Nigan убил Paradoxxxxx (СВД, 90.0m)",СВД,90.0,Nigan,Paradoxxxxx
2023-11-18 14:35:00,"Valya Warmog убил Dmitry_Hapocka (МР-133, 21.51m)",МР-133,21.51,Valya Warmog,Dmitry_Hapocka
2023-11-18 14:47:00,"Kirei убил ShiFFFrinski (T/C G2 Contender, 72.62m)",T/C G2 Contender,72.62,Kirei,ShiFFFrinski
2023-11-18 14:48:00,"Paradoxxxxx убил lanser1992 (FN SCAR-H, 230.66m)",FN SCAR-H,230.66,Paradoxxxxx,lanser1992
2023-11-18 15:04:00,"Zhuleibib убил ****** ******* (AK-105, 17.72m)",AK-105,17.72,Zhuleibib,****** *******
2023-11-18 15:07:00,"SOLT убил [T6p]Florka (M24, 122.83m)",M24,122.83,SOLT,[T6p]Florka
2023-11-18 15:11:00,"VAFLER убил ROMA_DURILA (АК-12, 35.55m)",АК-12,35.55,VAFLER,ROMA_DURILA
2023-11-18 15:12:00,"H1drox1de убил Popic (Winchester Model 1892, 26.36m)",Winchester Model 1892,26.36,H1drox1de,Popic
2023-11-18 15:12:00,"DED ADOT убил Dungeon (МР-133, 18.23m)",МР-133,18.23,DED ADOT,Dungeon
2023-11-18 15:12:00,"KILLA убил H1drox1de (Glock-19, 36.72m)",Glock-19,36.72,KILLA,H1drox1de
