Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-12 16:47:49,"Kermif убил Akimbo (Steyr AUG A1 Carbine, 1.27m)",Steyr AUG A1 Carbine,1.27,Kermif,Akimbo
2023-11-12 16:48:30,"Legioner  убил AnomaliWTL (Лом, 0.84m)",Лом,0.84,Legioner ,AnomaliWTL
2023-11-12 17:01:28,"MadBull убил VinMis (UMP-45, 3.72m)",UMP-45,3.72,MadBull,VinMis
2023-11-12 17:04:23,"WalterGPz убил Max79125 (Пластиковая бутылка, 0.92m)",Пластиковая бутылка,0.92,WalterGPz,Max79125
2023-11-12 17:07:07,"Pelmenchitos убил crystal (CZ-527, 22.37m)",CZ-527,22.37,Pelmenchitos,crystal
2023-11-12 17:07:48,"Dwayne Douglas Johnson убил smertoval (МР-133, 1.62m)",МР-133,1.62,Dwayne Douglas Johnson,smertoval
2023-11-12 17:08:02,"Dwayne Douglas Johnson убил karma (МР-133, 2.01m)",МР-133,2.01,Dwayne Douglas Johnson,karma
2023-11-12 17:08:02,"karma убил **Dvok*/ (CZ-527, 3.14m)",CZ-527,3.14,karma,**Dvok*/
2023-11-12 17:10:03,"HuNter убил f 13 (SSG 82, 77.94m)",SSG 82,77.94,HuNter,f 13
2023-11-12 17:17:19,"Max79125 убил Monarch (Glock-19, 5.09m)",Glock-19,5.09,Max79125,Monarch
2023-11-12 17:17:37,"Artezeth убил mrcl (MP5K, 18.75m)",MP5K,18.75,Artezeth,mrcl
2023-11-12 17:18:04,"Danzeku убил Maxxcr (Ruger Mk II, 2.45m)",Ruger Mk II,2.45,Danzeku,Maxxcr
2023-11-12 17:18:41,"MTPH.HQ+ убил Titan (FN SCAR-L CQC, 3.36m)",FN SCAR-L CQC,3.36,MTPH.HQ+,Titan
2023-11-12 17:18:44,"[Dream]Cerus убил BLOODHORN (Застава М59/66, 4.56m)",Застава М59/66,4.56,[Dream]Cerus,BLOODHORN
2023-11-12 17:20:43,"MadBull убил 4- (Glock-19, 10.22m)",Glock-19,10.22,MadBull,4-
2023-11-12 17:22:47,"Sauna убил f 13 (ИЖ70-17A, 6.35m)",ИЖ70-17A,6.35,Sauna,f 13
2023-11-12 17:26:40,"ARTURIO убил Akimbo (ИЖ-43, 3.22m)",ИЖ-43,3.22,ARTURIO,Akimbo
2023-11-12 17:27:52,"TypNsT убил Pelmenchitos (АКС-74У, 4.16m)",АКС-74У,4.16,TypNsT,Pelmenchitos
2023-11-12 17:28:24,"batya убил TypNsT (Н&К-416, 3.97m)",Н&К-416,3.97,batya,TypNsT
2023-11-12 17:28:32,"khn...? убил intel xeon DAGESTAN  (АКС-74У, 2.5m)",АКС-74У,2.5,khn...?,intel xeon DAGESTAN 
2023-11-12 17:32:24,"HuNter убил workayt15 (SSG 82, 174.83m)",SSG 82,174.83,HuNter,workayt15
2023-11-12 17:37:50,"byryndyk11a убил hapocka (Винтовка Мосина, 46.12m)",Винтовка Мосина,46.12,byryndyk11a,hapocka
2023-11-12 17:42:31,"lil ich убил crystal (ИЖ70-17A, 2.17m)",ИЖ70-17A,2.17,lil ich,crystal
2023-11-12 17:43:36,"SosiskaKiller убил Max[26] (ИЖ-18МН, 42.42m)",ИЖ-18МН,42.42,SosiskaKiller,Max[26]
2023-11-12 17:44:29,"Rimas убил [MAD] CHURKA (Škorpion vz. 64, 0.72m)",Škorpion vz. 64,0.72,Rimas,[MAD] CHURKA
2023-11-12 17:49:32,"4- убил Legioner  (Топорик, 2.07m)",Топорик,2.07,4-,Legioner 
2023-11-12 17:49:51,"crystal убил Vadimos (Кувалда, 1.22m)",Кувалда,1.22,crystal,Vadimos
2023-11-12 17:50:15,"AnomaliWTL убил 4- (CZ-527, 1.1m)",CZ-527,1.1,AnomaliWTL,4-
2023-11-12 17:50:42,"smertoval убил Max79125 (Glock-19, 1.44m)",Glock-19,1.44,smertoval,Max79125
2023-11-12 17:52:47,"SosiskaKiller убил Valera_Brusov (Škorpion vz. 64, 4.9m)",Škorpion vz. 64,4.9,SosiskaKiller,Valera_Brusov
2023-11-12 17:59:32,"lil ich убил Denis76 (Каменный нож, 0.84m)",Каменный нож,0.84,lil ich,Denis76
2023-11-12 18:03:08,"GRUVCHIE убил Pelmenchitos (Blaser B95 Luxus, 7.27m)",Blaser B95 Luxus,7.27,GRUVCHIE,Pelmenchitos
